student_id,school_name,grade_level_2019,program_name,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
20048,School E,1,,Spring,Math,169,19,1,
27878,School F,1,,Fall,Math,165,67,3,20
27878,School F,1,,Spring,Math,181,51,3,
19127,School F,1,,Fall,Math,167,72,3,19
19127,School F,1,,Spring,Math,188,70,3,
22331,School E,1,,Fall,Math,156,41,2,22
22331,School E,1,,Spring,Math,167,16,1,
25826,School E,1,,Fall,Math,140,8,1,26
25826,School E,1,,Spring,Math,172,26,2,
22917,School G,1,SPED,Fall,Math,150,25,2,24
22917,School G,1,SPED,Spring,Math,161,7,1,
25379,School G,1,,Fall,Math,157,44,2,22
25379,School G,1,,Spring,Math,176,36,2,
11466,School G,1,,Fall,Math,,,,
11466,School G,1,,Spring,Math,177,39,2,
11519,School F,1,LEP,Fall,Math,171,81,4,18
11519,School F,1,LEP,Spring,Math,218,99,4,
26048,School G,1,,Fall,Math,147,19,1,24
26048,School G,1,,Spring,Math,179,45,2,
14712,School G,1,,Fall,Math,169,76,4,19
14712,School G,1,,Spring,Math,181,51,3,
19016,School E,1,,Fall,Math,174,86,4,18
19016,School E,1,,Spring,Math,183,56,3,
22820,School E,1,,Fall,Math,173,84,4,18
22820,School E,1,,Spring,Math,198,90,4,
22276,School F,1,,Fall,Math,,,,
22276,School F,1,,Spring,Math,188,70,3,
17371,School E,1,,Fall,Math,168,74,3,19
17371,School E,1,,Spring,Math,189,73,3,
23439,School G,1,,Fall,Math,175,88,4,17
23439,School G,1,,Spring,Math,184,59,3,
27828,School F,1,,Fall,Math,,,,
27828,School F,1,,Spring,Math,175,33,2,
17490,School F,1,,Fall,Math,161,55,3,21
17490,School F,1,,Spring,Math,186,65,3,
15616,School F,1,,Fall,Math,148,21,1,24
15616,School F,1,,Spring,Math,180,48,2,
20234,School G,1,SPED,Fall,Math,125,1,1,30
20234,School G,1,SPED,Spring,Math,143,1,1,
10537,School F,1,,Fall,Math,169,76,4,19
10537,School F,1,,Spring,Math,199,91,4,
19183,School F,1,,Fall,Math,157,44,2,22
19183,School F,1,,Spring,Math,177,39,2,
20295,School G,1,Tier 2,Fall,Math,143,12,1,25
20295,School G,1,Tier 2,Spring,Math,172,26,2,
22775,School E,1,,Fall,Math,178,92,4,17
22775,School E,1,,Spring,Math,186,65,3,
17907,School F,1,,Fall,Math,165,67,3,20
17907,School F,1,,Spring,Math,,,,
16231,School F,1,,Fall,Math,165,67,3,20
16231,School F,1,,Spring,Math,184,59,3,
22598,School F,1,,Fall,Math,178,92,4,17
22598,School F,1,,Spring,Math,212,99,4,
16654,School F,1,,Fall,Math,167,72,3,19
16654,School F,1,,Spring,Math,194,83,4,
21418,School G,1,SPED,Fall,Math,145,15,1,25
21418,School G,1,SPED,Spring,Math,196,87,4,
23881,School G,1,,Fall,Math,167,72,3,19
23881,School G,1,,Spring,Math,190,75,4,
19283,School E,1,,Fall,Math,174,86,4,18
19283,School E,1,,Spring,Math,188,70,3,
21090,School G,1,,Fall,Math,123,1,1,30
21090,School G,1,,Spring,Math,185,62,3,
10451,School E,1,,Fall,Math,,,,
10451,School E,1,,Spring,Math,186,65,3,
16075,School E,1,,Fall,Math,159,50,3,21
16075,School E,1,,Spring,Math,175,33,2,
24998,School E,1,,Fall,Math,158,47,2,22
24998,School E,1,,Spring,Math,174,31,2,
29109,School E,1,,Fall,Math,156,41,2,22
29109,School E,1,,Spring,Math,182,53,3,
29131,School E,1,,Fall,Math,172,83,4,18
29131,School E,1,,Spring,Math,174,31,2,
13887,School E,1,,Fall,Math,170,79,4,19
13887,School E,1,,Spring,Math,184,59,3,
26182,School E,1,,Fall,Math,158,47,2,22
26182,School E,1,,Spring,Math,172,26,2,
21805,School E,1,,Fall,Math,168,74,3,19
21805,School E,1,,Spring,Math,173,28,2,
17569,School E,1,,Fall,Math,162,58,3,21
17569,School E,1,,Spring,Math,180,48,2,
25813,School E,1,,Fall,Math,155,38,2,22
25813,School E,1,,Spring,Math,176,36,2,
22255,School E,1,,Fall,Math,159,50,3,21
22255,School E,1,,Spring,Math,176,36,2,
14719,School E,1,,Fall,Math,147,19,1,24
14719,School E,1,,Spring,Math,168,17,1,
25157,School E,1,,Fall,Math,169,76,4,19
25157,School E,1,,Spring,Math,181,51,3,
15352,School E,1,,Fall,Math,166,69,3,20
15352,School E,1,,Spring,Math,188,70,3,
12611,School E,1,,Fall,Math,126,1,1,30
12611,School E,1,,Spring,Math,159,5,1,
11176,School E,1,,Fall,Math,149,23,1,24
11176,School E,1,,Spring,Math,179,45,2,
27184,School E,1,,Fall,Math,169,76,4,19
27184,School E,1,,Spring,Math,184,59,3,
22262,School E,1,,Fall,Math,152,30,2,23
22262,School E,1,,Spring,Math,183,56,3,
20244,School E,1,,Fall,Math,174,86,4,18
20244,School E,1,,Spring,Math,194,83,4,
20538,School E,1,,Fall,Math,166,69,3,20
20538,School E,1,,Spring,Math,186,65,3,
20765,School E,1,,Fall,Math,147,19,1,24
20765,School E,1,,Spring,Math,164,11,1,
24547,School E,1,,Fall,Math,171,81,4,18
24547,School E,1,,Spring,Math,180,48,2,
27378,School G,1,,Fall,Math,179,93,4,16
27378,School G,1,,Spring,Math,209,98,4,
24398,School G,1,SPED,Fall,Math,128,1,1,29
24398,School G,1,SPED,Spring,Math,145,1,1,
20877,School G,1,,Fall,Math,171,81,4,18
20877,School G,1,,Spring,Math,191,77,4,
11112,School G,1,,Fall,Math,186,97,4,15
11112,School G,1,,Spring,Math,208,98,4,
18553,School G,1,,Fall,Math,170,79,4,19
18553,School G,1,,Spring,Math,194,83,4,
14503,School G,1,,Fall,Math,182,95,4,16
14503,School G,1,,Spring,Math,213,99,4,
24393,School G,1,,Fall,Math,166,69,3,20
24393,School G,1,,Spring,Math,189,73,3,
10478,School G,1,,Fall,Math,160,52,3,21
10478,School G,1,,Spring,Math,184,59,3,
23410,School G,1,,Fall,Math,176,89,4,17
23410,School G,1,,Spring,Math,192,79,4,
20834,School G,1,,Fall,Math,156,41,2,22
20834,School G,1,,Spring,Math,172,26,2,
28059,School G,1,,Fall,Math,173,84,4,18
28059,School G,1,,Spring,Math,190,75,4,
28711,School G,1,,Fall,Math,178,92,4,17
28711,School G,1,,Spring,Math,192,79,4,
18632,School G,1,,Fall,Math,157,44,2,22
18632,School G,1,,Spring,Math,178,42,2,
19555,School G,1,,Fall,Math,160,52,3,21
19555,School G,1,,Spring,Math,192,79,4,
18507,School G,1,,Fall,Math,174,86,4,18
18507,School G,1,,Spring,Math,190,75,4,
19823,School G,1,,Fall,Math,156,41,2,22
19823,School G,1,,Spring,Math,183,56,3,
16888,School G,1,,Fall,Math,159,50,3,21
16888,School G,1,,Spring,Math,186,65,3,
28657,School G,1,,Fall,Math,167,72,3,19
28657,School G,1,,Spring,Math,184,59,3,
19411,School G,1,,Fall,Math,174,86,4,18
19411,School G,1,,Spring,Math,201,93,4,
28455,School G,1,,Fall,Math,186,98,4,15
28455,School G,1,,Spring,Math,195,85,4,
10543,School G,1,,Fall,Math,172,83,4,18
10543,School G,1,,Spring,Math,198,90,4,
20740,School G,1,,Fall,Math,143,12,1,25
20740,School G,1,,Spring,Math,178,42,2,
12453,School G,1,,Fall,Math,165,67,3,20
12453,School G,1,,Spring,Math,185,62,3,
27916,School G,1,,Fall,Math,163,61,3,20
27916,School G,1,,Spring,Math,193,81,4,
15021,School G,1,,Fall,Math,172,83,4,18
15021,School G,1,,Spring,Math,198,90,4,
10791,School G,1,,Fall,Math,165,67,3,20
10791,School G,1,,Spring,Math,187,68,3,
18483,School G,1,,Fall,Math,180,94,4,16
18483,School G,1,,Spring,Math,199,91,4,
22559,School G,1,,Fall,Math,165,67,3,20
22559,School G,1,,Spring,Math,188,70,3,
17730,School G,1,,Fall,Math,152,30,2,23
17730,School G,1,,Spring,Math,179,45,2,
26468,School E,1,,Fall,Math,168,74,3,19
26468,School E,1,,Spring,Math,186,65,3,
25212,School E,1,,Fall,Math,183,96,4,15
25212,School E,1,,Spring,Math,193,81,4,
27715,School E,1,,Fall,Math,157,44,2,22
27715,School E,1,,Spring,Math,172,26,2,
10574,School E,1,,Fall,Math,172,83,4,18
10574,School E,1,,Spring,Math,184,59,3,
14892,School E,1,,Fall,Math,187,98,4,14
14892,School E,1,,Spring,Math,212,99,4,
14598,School E,1,,Fall,Math,162,58,3,21
14598,School E,1,,Spring,Math,178,42,2,
20680,School E,1,,Fall,Math,174,86,4,18
20680,School E,1,,Spring,Math,181,51,3,
13484,School G,1,Tier 2,Fall,Math,133,3,1,28
13484,School G,1,Tier 2,Spring,Math,149,1,1,
19375,School E,1,,Fall,Math,177,90,4,17
19375,School E,1,,Spring,Math,183,56,3,
14487,School E,1,,Fall,Math,163,61,3,20
14487,School E,1,,Spring,Math,181,51,3,
25645,School G,1,,Fall,Math,173,84,4,18
25645,School G,1,,Spring,Math,186,65,3,
26449,School G,1,,Fall,Math,155,38,2,22
26449,School G,1,,Spring,Math,178,42,2,
16350,School G,1,,Fall,Math,161,55,3,21
16350,School G,1,,Spring,Math,180,48,2,
18783,School G,1,Tier 2,Fall,Math,151,28,2,23
18783,School G,1,Tier 2,Spring,Math,175,33,2,
19573,School G,1,Tier 2,Fall,Math,149,23,1,24
19573,School G,1,Tier 2,Spring,Math,171,24,1,
14523,School G,1,,Fall,Math,170,79,4,19
14523,School G,1,,Spring,Math,182,53,3,
29073,School E,1,,Fall,Math,183,96,4,15
29073,School E,1,,Spring,Math,209,98,4,
10550,School G,1,,Fall,Math,160,52,3,21
10550,School G,1,,Spring,Math,178,42,2,
28485,School E,1,,Fall,Math,175,88,4,17
28485,School E,1,,Spring,Math,195,85,4,
17706,School E,1,SPED,Fall,Math,156,41,2,22
17706,School E,1,SPED,Spring,Math,171,24,1,
22335,School F,1,,Fall,Math,167,72,3,19
22335,School F,1,,Spring,Math,180,48,2,
25653,School E,1,,Fall,Math,162,58,3,21
25653,School E,1,,Spring,Math,182,53,3,
19414,School G,1,,Fall,Math,179,93,4,16
19414,School G,1,,Spring,Math,194,83,4,
10871,School E,1,,Fall,Math,162,58,3,21
10871,School E,1,,Spring,Math,181,51,3,
10128,School E,1,,Fall,Math,176,89,4,17
10128,School E,1,,Spring,Math,191,77,4,
19396,School E,1,,Fall,Math,163,61,3,20
19396,School E,1,,Spring,Math,176,36,2,
21938,School E,1,,Fall,Math,173,84,4,18
21938,School E,1,,Spring,Math,196,87,4,
26409,School E,1,Tier 2,Fall,Math,137,5,1,27
26409,School E,1,Tier 2,Spring,Math,150,1,1,
27548,School E,1,,Fall,Math,186,98,4,15
27548,School E,1,,Spring,Math,206,97,4,
23610,School E,1,,Fall,Math,179,93,4,16
23610,School E,1,,Spring,Math,189,73,3,
16050,School E,1,,Fall,Math,158,47,2,22
16050,School E,1,,Spring,Math,176,36,2,
15395,School E,1,,Fall,Math,166,69,3,20
15395,School E,1,,Spring,Math,184,59,3,
18691,School E,1,,Fall,Math,174,86,4,18
18691,School E,1,,Spring,Math,184,59,3,
12528,School F,1,,Fall,Math,156,41,2,22
12528,School F,1,,Spring,Math,179,45,2,
26710,School E,1,,Fall,Math,187,98,4,14
26710,School E,1,,Spring,Math,200,92,4,
26013,School G,1,,Fall,Math,138,6,1,27
26013,School G,1,,Spring,Math,162,8,1,
16803,School F,1,,Fall,Math,150,25,2,24
16803,School F,1,,Spring,Math,177,39,2,
26333,School E,1,,Fall,Math,142,10,1,26
26333,School E,1,,Spring,Math,150,1,1,
27476,School E,1,,Fall,Math,178,92,4,17
27476,School E,1,,Spring,Math,201,93,4,
13051,School E,1,,Fall,Math,162,58,3,21
13051,School E,1,,Spring,Math,179,45,2,
14842,School F,1,,Fall,Math,170,79,4,19
14842,School F,1,,Spring,Math,190,75,4,
18256,School E,1,,Fall,Math,149,23,1,24
18256,School E,1,,Spring,Math,174,31,2,
13200,School E,1,,Fall,Math,163,61,3,20
13200,School E,1,,Spring,Math,184,59,3,
10586,School E,1,,Fall,Math,164,64,3,20
10586,School E,1,,Spring,Math,179,45,2,
15697,School E,1,,Fall,Math,175,88,4,17
15697,School E,1,,Spring,Math,186,65,3,
21255,School E,1,,Fall,Math,166,69,3,20
21255,School E,1,,Spring,Math,179,45,2,
23579,School E,1,,Fall,Math,173,84,4,18
23579,School E,1,,Spring,Math,187,68,3,
27945,School E,1,,Fall,Math,148,21,1,24
27945,School E,1,,Spring,Math,176,36,2,
24912,School F,1,,Fall,Math,154,35,2,23
24912,School F,1,,Spring,Math,175,33,2,
11286,School F,1,,Fall,Math,156,41,2,22
11286,School F,1,,Spring,Math,185,62,3,
18174,School F,1,,Fall,Math,165,67,3,20
18174,School F,1,,Spring,Math,185,62,3,
12877,School F,1,,Fall,Math,159,50,3,21
12877,School F,1,,Spring,Math,180,48,2,
19448,School F,1,,Fall,Math,161,55,3,21
19448,School F,1,,Spring,Math,217,99,4,
14293,School F,1,,Fall,Math,167,72,3,19
14293,School F,1,,Spring,Math,196,87,4,
19599,School F,1,,Fall,Math,151,28,2,23
19599,School F,1,,Spring,Math,181,51,3,
23892,School G,1,,Fall,Math,164,64,3,20
23892,School G,1,,Spring,Math,180,48,2,
21223,School F,1,,Fall,Math,162,58,3,21
21223,School F,1,,Spring,Math,180,48,2,
16592,School F,1,,Fall,Math,142,11,1,26
16592,School F,1,,Spring,Math,168,17,1,
23651,School F,1,,Fall,Math,150,25,2,24
23651,School F,1,,Spring,Math,179,45,2,
21874,School G,1,Tier 2,Fall,Math,147,19,1,24
21874,School G,1,Tier 2,Spring,Math,172,26,2,
12892,School F,1,,Fall,Math,145,15,1,25
12892,School F,1,,Spring,Math,170,21,1,
28467,School F,1,,Fall,Math,138,6,1,27
28467,School F,1,,Spring,Math,182,53,3,
20849,School F,1,,Fall,Math,175,88,4,17
20849,School F,1,,Spring,Math,181,51,3,
20347,School G,1,,Fall,Math,168,74,3,19
20347,School G,1,,Spring,Math,187,68,3,
18088,School F,1,,Fall,Math,176,89,4,17
18088,School F,1,,Spring,Math,217,99,4,
17521,School F,1,,Fall,Math,157,44,2,22
17521,School F,1,,Spring,Math,177,39,2,
20383,School F,1,,Fall,Math,154,35,2,23
20383,School F,1,,Spring,Math,185,62,3,
28939,School F,1,,Fall,Math,159,50,3,21
28939,School F,1,,Spring,Math,187,68,3,
27970,School F,1,,Fall,Math,174,86,4,18
27970,School F,1,,Spring,Math,196,87,4,
19052,School F,1,,Fall,Math,158,47,2,22
19052,School F,1,,Spring,Math,184,59,3,
19463,School F,1,,Fall,Math,165,67,3,20
19463,School F,1,,Spring,Math,193,81,4,
17787,School F,1,,Fall,Math,159,50,3,21
17787,School F,1,,Spring,Math,181,51,3,
28086,School F,1,,Fall,Math,151,28,2,23
28086,School F,1,,Spring,Math,167,16,1,
16895,School F,1,,Fall,Math,165,67,3,20
16895,School F,1,,Spring,Math,184,59,3,
10475,School F,1,,Fall,Math,146,17,1,25
10475,School F,1,,Spring,Math,166,14,1,
21752,School F,1,,Fall,Math,171,81,4,18
21752,School F,1,,Spring,Math,183,56,3,
27979,School F,1,,Fall,Math,162,58,3,21
27979,School F,1,,Spring,Math,180,48,2,
10642,School F,1,,Fall,Math,157,44,2,22
10642,School F,1,,Spring,Math,179,45,2,
10931,School F,1,,Fall,Math,190,99,4,13
10931,School F,1,,Spring,Math,223,99,4,
16237,School F,1,,Fall,Math,160,52,3,21
16237,School F,1,,Spring,Math,183,56,3,
17262,School F,1,SPED,Fall,Math,151,28,2,23
17262,School F,1,SPED,Spring,Math,168,17,1,
10035,School F,1,SPED,Fall,Math,175,88,4,17
10035,School F,1,SPED,Spring,Math,176,36,2,
13530,School F,1,,Fall,Math,140,8,1,26
13530,School F,1,,Spring,Math,174,31,2,
21569,School F,1,,Fall,Math,185,97,4,15
21569,School F,1,,Spring,Math,220,99,4,
11387,School F,1,,Fall,Math,163,61,3,20
11387,School F,1,,Spring,Math,196,87,4,
20850,School F,1,,Fall,Math,156,41,2,22
20850,School F,1,,Spring,Math,178,42,2,
18249,School F,1,,Fall,Math,166,69,3,20
18249,School F,1,,Spring,Math,192,79,4,
16171,School F,1,,Fall,Math,142,10,1,26
16171,School F,1,,Spring,Math,161,7,1,
26927,School F,1,Tier 2,Fall,Math,158,47,2,22
26927,School F,1,Tier 2,Spring,Math,159,5,1,
19893,School F,1,,Fall,Math,183,96,4,15
19893,School F,1,,Spring,Math,216,99,4,
28945,School F,1,,Fall,Math,168,74,3,19
28945,School F,1,,Spring,Math,187,68,3,
10335,School F,1,,Fall,Math,181,94,4,16
10335,School F,1,,Spring,Math,227,99,4,
12562,School F,1,,Fall,Math,145,15,1,25
12562,School F,1,,Spring,Math,174,31,2,
10555,School F,1,,Fall,Math,173,84,4,18
10555,School F,1,,Spring,Math,202,94,4,
26199,School F,1,,Fall,Math,159,50,3,21
26199,School F,1,,Spring,Math,181,51,3,
17332,School F,1,SPED,Fall,Math,171,81,4,18
17332,School F,1,SPED,Spring,Math,190,75,4,
19566,School F,1,,Fall,Math,162,58,3,21
19566,School F,1,,Spring,Math,183,56,3,
12008,School E,1,,Fall,Math,165,67,3,20
12008,School E,1,,Spring,Math,196,87,4,
16079,School E,1,,Fall,Math,163,61,3,20
16079,School E,1,,Spring,Math,176,36,2,
25783,School G,1,,Fall,Math,164,64,3,20
25783,School G,1,,Spring,Math,188,70,3,
25993,School G,1,,Fall,Math,139,7,1,26
25993,School G,1,,Spring,Math,174,31,2,
13161,School G,1,,Fall,Math,174,86,4,18
13161,School G,1,,Spring,Math,197,88,4,
28825,School G,1,Tier 2,Fall,Math,154,35,2,23
28825,School G,1,Tier 2,Spring,Math,186,65,3,
11784,School E,1,,Fall,Math,172,83,4,18
11784,School E,1,,Spring,Math,185,62,3,
19604,School G,1,,Fall,Math,163,61,3,20
19604,School G,1,,Spring,Math,183,56,3,
29614,School G,1,,Fall,Math,157,44,2,22
29614,School G,1,,Spring,Math,185,62,3,
16569,School F,1,,Fall,Math,178,92,4,17
16569,School F,1,,Spring,Math,199,91,4,
10434,School E,1,,Fall,Math,194,99,4,13
10434,School E,1,,Spring,Math,207,97,4,
28058,School E,1,,Fall,Math,187,98,4,14
28058,School E,1,,Spring,Math,195,85,4,
13638,School E,1,,Fall,Math,168,74,3,19
13638,School E,1,,Spring,Math,187,68,3,
17286,School E,1,,Fall,Math,178,92,4,17
17286,School E,1,,Spring,Math,207,97,4,
17573,School E,1,,Fall,Math,170,79,4,19
17573,School E,1,,Spring,Math,183,56,3,
22704,School G,1,Tier 2,Fall,Math,127,1,1,29
22704,School G,1,Tier 2,Spring,Math,138,1,1,
24086,School G,1,,Fall,Math,143,12,1,25
24086,School G,1,,Spring,Math,164,11,1,
21265,School G,1,,Fall,Math,152,30,2,23
21265,School G,1,,Spring,Math,180,48,2,
13826,School G,1,,Fall,Math,163,61,3,20
13826,School G,1,,Spring,Math,183,56,3,
25946,School G,1,,Fall,Math,160,52,3,21
25946,School G,1,,Spring,Math,184,59,3,
29065,School G,1,,Fall,Math,144,13,1,25
29065,School G,1,,Spring,Math,173,28,2,
17405,School E,1,Tier 2,Fall,Math,140,8,1,26
17405,School E,1,Tier 2,Spring,Math,162,8,1,
28865,School G,1,Tier 2,Fall,Math,151,28,2,23
28865,School G,1,Tier 2,Spring,Math,167,16,1,
26750,School G,1,,Fall,Math,171,81,4,18
26750,School G,1,,Spring,Math,193,81,4,
13874,School G,1,Tier 2,Fall,Math,154,35,2,23
13874,School G,1,Tier 2,Spring,Math,167,16,1,
17960,School G,1,,Fall,Math,158,47,2,22
17960,School G,1,,Spring,Math,191,77,4,
24766,School E,1,,Fall,Math,163,61,3,20
24766,School E,1,,Spring,Math,171,24,1,
13193,School E,1,,Fall,Math,174,86,4,18
13193,School E,1,,Spring,Math,192,79,4,
15315,School E,1,,Fall,Math,179,93,4,16
15315,School E,1,,Spring,Math,194,83,4,
24926,School E,1,,Fall,Math,176,89,4,17
24926,School E,1,,Spring,Math,192,79,4,
23027,School E,1,,Fall,Math,163,61,3,20
23027,School E,1,,Spring,Math,186,65,3,
16015,School E,1,,Fall,Math,164,64,3,20
16015,School E,1,,Spring,Math,171,24,1,
24821,School G,1,,Fall,Math,186,98,4,15
24821,School G,1,,Spring,Math,206,97,4,
23592,School G,1,,Fall,Math,138,6,1,27
23592,School G,1,,Spring,Math,160,6,1,
18398,School G,1,,Fall,Math,171,81,4,18
18398,School G,1,,Spring,Math,188,70,3,
18791,School F,1,,Fall,Math,158,47,2,22
18791,School F,1,,Spring,Math,189,73,3,
16610,School G,1,,Fall,Math,169,76,4,19
16610,School G,1,,Spring,Math,192,79,4,
22618,School F,1,,Fall,Math,155,38,2,22
22618,School F,1,,Spring,Math,170,21,1,
19370,School F,1,,Fall,Math,173,84,4,18
19370,School F,1,,Spring,Math,194,83,4,
22471,School G,1,,Fall,Math,166,69,3,20
22471,School G,1,,Spring,Math,185,62,3,
17799,School G,1,,Fall,Math,154,35,2,23
17799,School G,1,,Spring,Math,167,15,1,
26041,School F,1,,Fall,Math,157,44,2,22
26041,School F,1,,Spring,Math,174,31,2,
18112,School G,1,,Fall,Math,165,67,3,20
18112,School G,1,,Spring,Math,202,94,4,
17994,School G,1,,Fall,Math,160,52,3,21
17994,School G,1,,Spring,Math,197,88,4,
18855,School G,1,,Fall,Math,162,58,3,21
18855,School G,1,,Spring,Math,179,45,2,
23769,School F,1,,Fall,Math,161,55,3,21
23769,School F,1,,Spring,Math,185,62,3,
19058,School F,1,,Fall,Math,155,38,2,22
19058,School F,1,,Spring,Math,180,48,2,
23971,School F,1,,Fall,Math,154,35,2,23
23971,School F,1,,Spring,Math,170,21,1,
28203,School F,1,,Fall,Math,169,76,4,19
28203,School F,1,,Spring,Math,183,56,3,
16374,School F,1,,Fall,Math,150,25,2,24
16374,School F,1,,Spring,Math,197,88,4,
18800,School F,1,,Fall,Math,154,35,2,23
18800,School F,1,,Spring,Math,175,33,2,
12440,School F,1,,Fall,Math,175,88,4,17
12440,School F,1,,Spring,Math,207,97,4,
23584,School F,1,,Fall,Math,188,98,4,14
23584,School F,1,,Spring,Math,224,99,4,
26323,School G,1,,Fall,Math,175,88,4,17
26323,School G,1,,Spring,Math,195,85,4,
25530,School F,1,,Fall,Math,170,79,4,19
25530,School F,1,,Spring,Math,189,73,3,
18499,School F,1,,Fall,Math,143,12,1,25
18499,School F,1,,Spring,Math,177,39,2,
13327,School F,1,,Fall,Math,,,,
13327,School F,1,,Spring,Math,173,28,2,
17517,School F,1,,Fall,Math,163,61,3,20
17517,School F,1,,Spring,Math,191,77,4,
12646,School G,1,,Fall,Math,169,76,4,19
12646,School G,1,,Spring,Math,192,79,4,
24726,School F,1,,Fall,Math,164,64,3,20
24726,School F,1,,Spring,Math,182,53,3,
25600,School G,1,,Fall,Math,149,23,1,24
25600,School G,1,,Spring,Math,173,28,2,
29046,School F,1,,Fall,Math,163,61,3,20
29046,School F,1,,Spring,Math,194,83,4,
15364,School F,1,,Fall,Math,157,44,2,22
15364,School F,1,,Spring,Math,184,59,3,
23254,School G,1,,Fall,Math,164,64,3,20
23254,School G,1,,Spring,Math,177,39,2,
16180,School G,1,Tier 2,Fall,Math,,,,
16180,School G,1,Tier 2,Spring,Math,162,8,1,
10360,School F,1,,Fall,Math,146,17,1,25
10360,School F,1,,Spring,Math,175,33,2,
29152,School E,1,,Fall,Math,153,33,2,23
29152,School E,1,,Spring,Math,171,24,1,
22343,School E,1,,Fall,Math,166,69,3,20
22343,School E,1,,Spring,Math,183,56,3,
23161,School E,1,,Fall,Math,139,7,1,26
23161,School E,1,,Spring,Math,160,6,1,
22305,School F,1,Tier 2,Fall,Math,,,,
22305,School F,1,Tier 2,Spring,Math,200,92,4,
16824,School E,1,,Fall,Math,159,50,3,21
16824,School E,1,,Spring,Math,178,42,2,
29327,School E,1,,Fall,Math,171,81,4,18
29327,School E,1,,Spring,Math,182,53,3,
25234,School F,1,,Fall,Math,156,41,2,22
25234,School F,1,,Spring,Math,171,24,1,
20900,School G,1,,Fall,Math,169,76,4,19
20900,School G,1,,Spring,Math,191,77,4,
13656,School F,1,,Fall,Math,,,,
13656,School F,1,,Spring,Math,194,83,4,
10823,School E,1,,Fall,Math,157,44,2,22
10823,School E,1,,Spring,Math,,,,
19028,School E,1,,Fall,Math,148,21,1,24
19028,School E,1,,Spring,Math,,,,
23424,School E,1,,Fall,Math,167,72,3,19
23424,School E,1,,Spring,Math,,,,
25672,School E,1,,Fall,Math,137,5,1,27
25672,School E,1,,Spring,Math,,,,
16300,School F,1,,Fall,Math,160,52,3,21
16300,School F,1,,Spring,Math,,,,
19900,School F,1,,Fall,Math,152,30,2,23
19900,School F,1,,Spring,Math,,,,
19624,School F,1,,Fall,Math,143,12,1,25
19624,School F,1,,Spring,Math,,,,
12094,School F,1,,Fall,Math,165,67,3,20
12094,School F,1,,Spring,Math,,,,
