student_id,year,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
10537,2019,Fall,Reading,177,93,4,15
19183,2019,Fall,Reading,172,86,4,16
20295,2019,Fall,Reading,151,29,2,20
22775,2019,Fall,Reading,185,98,4,13
17907,2019,Fall,Reading,159,53,3,19
16231,2019,Fall,Reading,162,62,3,18
22598,2019,Fall,Reading,175,91,4,15
16654,2019,Fall,Reading,163,65,3,18
21418,2019,Fall,Reading,151,29,2,20
23881,2019,Fall,Reading,164,68,3,18
19283,2019,Fall,Reading,190,99,4,12
21090,2019,Fall,Reading,135,4,1,24
10451,2019,Fall,Reading,.,.,.,.
16075,2019,Fall,Reading,158,50,3,19
24998,2019,Fall,Reading,158,50,3,19
29109,2019,Fall,Reading,158,50,3,19
29131,2019,Fall,Reading,161,59,3,18
13887,2019,Fall,Reading,174,89,4,15
26182,2019,Fall,Reading,164,68,3,18
21805,2019,Fall,Reading,167,76,4,17
17569,2019,Fall,Read,155,40,2,20
25813,2019,Fall,Reading,151,29,2,20
22255,2019,Fall,Reading,159,53,3,19
14719,2019,Fall,Reading,160,56,3,18
25157,2019,Fall,Reading,172,86,4,16
15352,2019,Fall,Reading,161,59,3,18
12611,2019,Fall,Reading,145,15,1,22
11176,2019,Fall,Reading,161,59,3,18
27184,2019,Fall,Reading,164,68,3,18
22262,2019,Fall,Reading,171,84,4,16
20244,2019,Fall,Reading,172,86,4,16
20538,2019,Fall,Reading,176,92,4,15
20765,2019,Fall,Reading,147,19,1,21
24547,2019,Fall,Reading,174,89,4,15
27378,2019,Fall,Reading,177,93,4,15
24398,2019,Fall,Reading,142,10,1,22
20877,2019,Fall,Reading,158,50,3,19
11112,2019,Fall,Reading,184,98,4,13
18553,2019,Fall,Reading,165,70,3,17
14503,2019,Fall,Reading,171,84,4,16
24393,2019,Fall,Reading,161,59,3,18
10478,2019,Fall,Reading,162,62,3,18
23410,2019,Fall,Reading,171,84,4,16
20834,2019,Fall,Reading,152,32,2,20
28059,2019,Fall,Reading,162,62,3,18
28711,2019,Fall,Reading,169,80,4,16
18632,2019,Fall,Reading,159,53,3,19
19555,2019,Fall,Reading,157,46,2,19
18507,2019,Fall,Reading,177,93,4,15
19823,2019,Fall,Reading,158,50,3,19
16888,2019,Fall,Reading,172,86,4,16
28657,2019,Fall,Reading,162,62,3,18
19411,2019,Fall,Reading,168,78,4,17
28455,2019,Fall,Reading,182,97,4,14
10543,2019,Fall,Reading,172,86,4,16
20740,2019,Fall,Reading,158,50,3,19
12453,2019,Fall,Reading,163,65,3,18
27916,2019,Fall,Reading,162,62,3,18
15021,2019,Fall,Reading,173,88,4,16
10791,2019,Fall,Reading,155,40,2,20
18483,2019,Fall,Reading,183,97,4,13
22559,2019,Fall,Reading,165,70,3,17
17730,2019,Fall,Reading,156,43,2,19
26468,2019,Fall,Reading,175,91,4,15
25212,2019,Fall,Reading,190,99,4,12
27715,2019,Fall,Reading,173,88,4,16
10574,2019,Fall,Reading,170,82,4,16
14892,2019,Fall,Reading,193,99,4,11
14598,2019,Fall,Reading,156,43,2,19
20680,2019,Fall,Reading,170,82,4,16
13484,2019,Fall,Reading,145,15,1,22
19375,2019,Fall,Reading,182,97,4,14
14487,2019,Fall,Reading,171,84,4,16
25645,2019,Fall,Reading,165,70,3,17
26449,2019,Fall,Reading,159,53,3,19
16350,2019,Fall,Read,155,40,2,20
18783,2019,Fall,Read,155,40,2,20
19573,2019,Fall,Read,148,21,1,21
14523,2019,Fall,Read,169,80,4,16
29073,2019,Fall,Read,195,99,4,11
10550,2019,Fall,Read,163,65,3,18
28485,2019,Fall,Read,191,99,4,12
17706,2019,Fall,Read,167,76,4,17
22335,2019,Fall,Read,164,68,3,18
25653,2019,Fall,Read,159,53,3,19
19414,2019,Fall,Read,172,86,4,16
10871,2019,Fall,Read,169,80,4,16
10128,2019,Fall,Read,183,97,4,13
19396,2019,Fall,Read,154,37,2,20
21938,2019,Fall,Read,187,99,4,12
26409,2019,Fall,Read,144,13,1,22
27548,2019,Fall,Read,189,99,4,12
23610,2019,Fall,Read,202,99,4,9
16050,2019,Fall,Read,172,86,4,16
15395,2019,Fall,Read,173,88,4,16
18691,2019,Fall,Read,172,86,4,16
12528,2019,Fall,Read,152,32,2,20
26710,2019,Fall,Read,179,95,4,14
26013,2019,Fall,Read,146,17,1,22
16803,2019,Fall,Read,162,62,3,18
26333,2019,Fall,Read,142,10,1,23
27476,2019,Fall,Read,174,89,4,15
13051,2019,Fall,Read,151,29,2,20
14842,2019,Fall,Read,167,76,4,17
18256,2019,Fall,Read,159,53,3,19
13200,2019,Fall,Read,164,68,3,18
10586,2019,Fall,Read,165,70,3,17
15697,2019,Fall,Read,189,99,4,12
21255,2019,Fall,Read,173,88,4,16
23579,2019,Fall,Read,186,98,4,12
27945,2019,Fall,Read,155,40,2,20
24912,2019,Fall,Read,149,24,1,21
11286,2019,Fall,Read,156,43,2,19
18174,2019,Fall,Read,168,78,4,17
12877,2019,Fall,Read,159,53,3,19
19448,2019,Fall,Read,181,96,4,14
14293,2019,Fall,Read,174,89,4,15
19599,2019,Fall,Read,154,37,2,20
23892,2019,Fall,Read,151,29,2,20
21223,2019,Fall,Read,160,56,3,18
16592,2019,Fall,Read,139,7,1,23
23651,2019,Fall,Read,151,29,2,20
21874,2019,Fall,Read,152,31,2,20
12892,2019,Fall,Read,151,29,2,20
28467,2019,Fall,Read,155,40,2,20
20849,2019,Fall,Read,161,59,3,18
20347,2019,Fall,Read,158,50,3,19
18088,2019,Fall,Read,179,95,4,14
17521,2019,Fall,Read,161,59,3,18
20383,2019,Fall,Read,152,32,2,20
28939,2019,Fall,Read,171,84,4,16
27970,2019,Fall,Read,165,70,3,17
19052,2019,Fall,Read,160,56,3,18
19463,2019,Fall,Read,172,86,4,16
17787,2019,Fall,Read,153,34,2,20
28086,2019,Fall,Read,160,56,3,18
16895,2019,Fall,Reading,157,46,2,19
10475,2019,Fall,Reading,151,29,2,20
21752,2019,Fall,Reading,163,65,3,18
27979,2019,Fall,Reading,164,68,3,18
10642,2019,Fall,Reading,146,17,1,22
10931,2019,Fall,Reading,185,98,4,13
16237,2019,Fall,Reading,157,46,2,19
17262,2019,Fall,Reading,151,29,2,20
10035,2019,Fall,Reading,148,21,1,21
13530,2019,Fall,Reading,150,26,2,21
21569,2019,Fall,Reading,173,88,4,16
11387,2019,Fall,Reading,160,56,3,18
20850,2019,Fall,Reading,156,43,2,19
18249,2019,Fall,Reading,164,68,3,18
16171,2019,Fall,Reading,139,7,1,23
26927,2019,Fall,Reading,174,89,4,15
19893,2019,Fall,Reading,176,92,4,15
28945,2019,Fall,Reading,165,70,3,17
10335,2019,Fall,Reading,167,76,4,17
12562,2019,Fall,Reading,148,21,1,21
10555,2019,Fall,Reading,185,98,4,13
26199,2019,Fall,Reading,165,70,3,17
17332,2019,Fall,Reading,163,65,3,18
19566,2019,Fall,Reading,162,62,3,18
12008,2019,Fall,Reading,188,99,4,12
16079,2019,Fall,Reading,170,82,4,16
25783,2019,Fall,Reading,151,29,2,21
25993,2019,Fall,Reading,146,17,1,22
13161,2019,Fall,Reading,174,89,4,15
28825,2019,Fall,Reading,149,24,1,21
11784,2019,Fall,Reading,160,56,3,18
19604,2019,Fall,Reading,170,82,4,16
29614,2019,Fall,Reading,146,17,1,22
16569,2019,Fall,Reading,181,96,4,14
10434,2019,Fall,Reading,197,99,4,10
28058,2019,Fall,Reading,177,93,4,15
13638,2019,Fall,Reading,160,56,3,18
17286,2019,Fall,Reading,186,99,4,13
17573,2019,Fall,Reading,175,91,4,15
22704,2019,Fall,Reading,136,4,1,24
24086,2019,Fall,Reading,155,40,2,20
21265,2019,Fall,Reading,137,5,1,24
13826,2019,Fall,Reading,160,56,3,18
25946,2019,Fall,Reading,149,24,1,21
29065,2019,Fall,Reading,154,37,2,20
17405,2019,Fall,Reading,143,12,1,22
28865,2019,Fall,Reading,152,31,2,20
26750,2019,Fall,Reading,163,65,3,18
13874,2019,Fall,Reading,147,19,1,21
17960,2019,Fall,Reading,158,50,3,19
24766,2019,Fall,Reading,164,68,3,18
13193,2019,Fall,Reading,169,80,4,16
15315,2019,Fall,Reading,191,99,4,12
24926,2019,Fall,Reading,175,91,4,15
23027,2019,Fall,Reading,174,89,4,15
16015,2019,Fall,Reading,165,70,3,17
24821,2019,Fall,Reading,194,99,4,11
23592,2019,Fall,Reading,152,31,2,20
18398,2019,Fall,Reading,175,91,4,15
18791,2019,Fall,Reading,156,43,2,19
16610,2019,Fall,Reading,163,65,3,18
22618,2019,Fall,Reading,153,34,2,20
19370,2019,Fall,Reading,169,80,4,16
22471,2019,Fall,Reading,163,65,3,18
17799,2019,Fall,Reading,155,40,2,20
26041,2019,Fall,Reading,159,53,3,19
18112,2019,Fall,Reading,157,46,2,19
17994,2019,Fall,Reading,154,37,2,20
18855,2019,Fall,Reading,164,68,3,18
23769,2019,Fall,Reading,162,62,3,18
19058,2019,Fall,Reading,157,46,2,19
23971,2019,Fall,Reading,156,43,2,19
28203,2019,Fall,Reading,168,78,4,17
16374,2019,Fall,Reading,160,56,3,18
18800,2019,Fall,Reading,159,53,3,19
12440,2019,Fall,Reading,173,88,4,16
23584,2019,Fall,Reading,171,84,4,16
26323,2019,Fall,Reading,166,73,3,17
25530,2019,Fall,Reading,165,70,3,17
18499,2019,Fall,Reading,152,31,2,20
13327,2019,Fall,Reading,.,.,.,.
17517,2019,Fall,Reading,168,78,4,17
12646,2019,Fall,Reading,169,80,4,16
24726,2019,Fall,Reading,163,65,3,18
25600,2019,Fall,Reading,155,40,2,20
29046,2019,Fall,Reading,169,80,4,16
15364,2019,Fall,Reading,157,46,2,19
23254,2019,Fall,Reading,147,19,1,21
16180,2019,Fall,Reading,.,.,.,.
10360,2019,Fall,Reading,150,26,2,21
29152,2019,Fall,Reading,171,84,4,16
22343,2019,Fall,Reading,170,82,4,16
23161,2019,Fall,Reading,147,19,1,21
22305,2019,Fall,Reading,.,.,.,.
16824,2019,Fall,Reading,171,84,4,16
29327,2019,Fall,Reading,168,78,4,17
25234,2019,Fall,Reading,155,40,2,20
20900,2019,Fall,Reading,166,73,3,17
13656,2019,Fall,Reading,.,.,.,.
10823,2019,Fall,Reading,127,1,1,26
19028,2019,Fall,Reading,154,37,2,20
23424,2019,Fall,Reading,164,68,3,18
25672,2019,Fall,Reading,144,13,1,22
16300,2019,Fall,Reading,172,86,4,16
19900,2019,Fall,Reading,148,21,1,21
19624,2019,Fall,Reading,157,46,2,19
12094,2019,Fall,Reading,164,68,3,18
15750,2019,Fall,Reading,176,92,4,15
25509,2019,Fall,Reading,173,88,4,16
15289,2019,Fall,Reading,169,80,4,16
26368,2019,Fall,Reading,159,53,3,19
11333,2019,Fall,Reading,161,59,3,18
27808,2019,Fall,Reading,143,12,1,22
17410,2019,Fall,Reading,157,46,2,19
29367,2019,Fall,Reading,161,59,3,18
24312,2019,Fall,Reading,163,65,3,18
13955,2019,Fall,Reading,182,97,4,14
15844,2019,Fall,Reading,186,99,4,13
20981,2019,Fall,Reading,149,24,1,21
21885,2019,Fall,Reading,158,50,3,19
21460,2019,Fall,Reading,154,37,2,20
27391,2019,Fall,Reading,152,31,2,20
26860,2019,Fall,Reading,164,68,3,18
25242,2019,Fall,Reading,194,99,4,11
16270,2019,Fall,Reading,146,17,1,22
24135,2019,Fall,Reading,155,40,2,20
22155,2019,Fall,Reading,153,34,2,20
19089,2019,Fall,Reading,.,.,.,.
17268,2019,Fall,Reading,.,.,.,.
13041,2019,Fall,Reading,.,.,.,.
28777,2019,Fall,Reading,.,.,.,.
15270,2019,Fall,Reading,.,.,.,.
16807,2019,Fall,Reading,.,.,.,.
10824,2019,Fall,Reading,.,.,.,.
12101,2019,Fall,Reading,171,33,2,12
25983,2019,Fall,Reading,186,72,3,9
12727,2019,Fall,Reading,187,74,3,9
21616,2019,Fall,Reading,168,26,2,13
17353,2019,Fall,Reading,178,51,3,11
12522,2019,Fall,Reading,165,19,1,14
28751,2019,Fall,Reading,180,57,3,10
16543,2019,Fall,Reading,.,.,.,.
21360,2019,Fall,Reading,171,33,2,12
19936,2019,Fall,Reading,.,.,.,.
20731,2019,Fall,Reading,.,.,.,.
12003,2019,Fall,Reading,174,40,2,12
15613,2019,Fall,Reading,202,95,4,6
18388,2019,Fall,Reading,195,89,4,7
16039,2019,Fall,Reading,208,98,4,5
17678,2019,Fall,Reading,193,86,4,8
24557,2019,Fall,Read,164,17,1,14
13325,2019,Fall,Reading,164,17,1,14
22873,2019,Fall,Reading,160,11,1,15
29370,2019,Fall,Reading,174,40,2,12
10988,2019,Fall,Reading,206,98,4,5
24945,2019,Fall,Reading,167,23,1,13
21627,2019,Fall,Reading,192,84,4,8
12415,2019,Fall,Reading,168,26,2,13
25507,2019,Fall,Reading,176,46,2,11
16257,2019,Fall,Reading,195,89,4,7
10458,2019,Fall,Reading,163,16,1,14
29206,2019,Fall,Reading,174,40,2,12
14466,2019,Fall,Reading,175,43,2,11
12815,2019,Fall,Reading,183,65,3,10
27275,2019,Fall,Reading,189,79,4,9
25359,2019,Fall,Reading,177,49,2,11
12610,2019,Fall,Reading,177,49,2,11
19212,2019,Fall,Reading,152,4,1,16
16089,2019,Fall,Reading,.,.,.,.
12282,2019,Fall,Reading,178,51,3,11
26519,2019,Fall,Reading,174,40,2,12
11946,2019,Fall,Reading,172,35,2,12
24079,2019,Fall,Reading,197,91,4,7
17672,2019,Fall,Reading,180,57,3,10
27240,2019,Fall,Reading,194,87,4,8
28426,2019,Fall,Read,199,93,4,7
19809,2019,Fall,Read,165,19,1,14
26110,2019,Fall,Reading,193,86,4,8
28770,2019,Fall,Reading,169,28,2,13
13437,2019,Fall,Reading,189,79,4,9
28655,2019,Fall,Reading,.,.,.,.
14072,2019,Fall,Reading,161,13,1,14
10009,2019,Fall,Reading,209,98,4,4
14179,2019,Fall,Reading,166,21,1,13
15214,2019,Fall,Reading,135,1,1,20
19259,2019,Fall,Reading,171,33,2,12
13549,2019,Fall,Reading,170,30,2,13
13240,2019,Fall,Reading,195,89,4,7
25730,2019,Fall,Reading,186,72,3,9
26337,2019,Fall,Reading,196,90,4,7
19730,2019,Fall,Reading,155,6,1,16
19664,2019,Fall,Reading,190,81,4,8
25209,2019,Fall,Reading,169,28,2,13
16566,2019,Fall,Reading,192,84,4,8
18904,2019,Fall,Reading,185,70,3,9
17729,2019,Fall,Reading,185,70,3,9
29220,2019,Fall,Reading,190,81,4,8
21213,2019,Fall,Reading,171,33,2,12
17647,2019,Fall,Reading,.,.,.,.
17133,2019,Fall,Reading,173,38,2,12
26258,2019,Fall,Reading,212,99,4,3
14900,2019,Fall,Reading,185,70,3,9
16256,2019,Fall,Reading,179,54,3,11
27761,2019,Fall,Reading,169,28,2,13
15250,2019,Fall,Reading,194,87,4,8
20319,2019,Fall,Reading,187,74,3,9
29049,2019,Fall,Reading,194,87,4,8
24389,2019,Fall,Reading,171,33,2,12
17212,2019,Fall,Reading,171,33,2,12
28386,2019,Fall,Reading,193,86,4,8
25319,2019,Fall,Reading,198,92,4,7
17970,2019,Fall,Reading,174,40,2,12
27524,2019,Fall,Reading,171,33,2,12
19277,2019,Fall,Reading,174,40,2,12
16986,2019,Fall,Reading,187,74,3,9
11927,2019,Fall,Reading,178,51,3,11
12200,2019,Fall,Reading,176,46,2,11
23405,2019,Fall,Reading,161,13,1,14
29629,2019,Fall,Reading,182,62,3,10
22435,2019,Fall,Reading,189,79,4,9
13465,2019,Fall,Reading,184,67,3,10
20518,2019,Fall,Reading,193,86,4,8
21988,2019,Fall,Reading,169,28,2,13
17662,2019,Fall,Reading,182,62,3,10
13989,2019,Fall,Reading,179,54,3,11
12622,2019,Fall,Reading,151,3,1,16
24139,2019,Fall,Reading,189,79,4,9
10150,2019,Fall,Reading,166,21,1,13
14447,2019,Fall,Reading,172,35,2,12
26645,2019,Fall,Reading,177,49,2,11
21976,2019,Fall,Read,198,92,4,7
25143,2019,Fall,Reading,163,16,1,14
29776,2019,Fall,Reading,189,79,4,9
25299,2019,Fall,Reading,177,49,2,11
25286,2019,Fall,Reading,177,49,2,11
13266,2019,Fall,Reading,196,90,4,7
11378,2019,Fall,Reading,193,86,4,8
27087,2019,Fall,Reading,187,74,3,9
26740,2019,Fall,Reading,180,57,3,10
19003,2019,Fall,Reading,188,77,4,9
15621,2019,Fall,Reading,192,84,4,8
21946,2019,Fall,Reading,194,87,4,8
12868,2019,Fall,Reading,187,74,3,9
18958,2019,Fall,Reading,193,86,4,8
12248,2019,Fall,Reading,195,89,4,7
23674,2019,Fall,Reading,182,62,3,10
27137,2019,Fall,Reading,173,38,2,12
26727,2019,Fall,Reading,200,94,4,6
22508,2019,Fall,Reading,191,82,4,8
27327,2019,Fall,Reading,186,72,3,9
19017,2019,Fall,Reading,198,92,4,7
28697,2019,Fall,Reading,200,94,4,6
18822,2019,Fall,Reading,175,43,2,12
22847,2019,Fall,Reading,179,54,3,11
11103,2019,Fall,Reading,180,57,3,10
27620,2019,Fall,Reading,182,62,3,10
27776,2019,Fall,Reading,189,79,4,9
22033,2019,Fall,Reading,201,95,4,6
21160,2019,Fall,Reading,204,97,4,6
26668,2019,Fall,Reading,161,13,1,14
16475,2019,Fall,Reading,179,54,3,11
21903,2019,Fall,Reading,200,94,4,6
21184,2019,Fall,Reading,187,74,3,9
10235,2019,Fall,Reading,180,57,3,10
27020,2019,Fall,Reading,210,99,4,4
14101,2019,Fall,Reading,199,93,4,7
16871,2019,Fall,Reading,184,67,3,10
27716,2019,Fall,Reading,203,96,4,6
14224,2019,Fall,Reading,204,97,4,6
27022,2019,Fall,Reading,163,16,1,14
11298,2019,Fall,Reading,205,97,4,5
29035,2019,Fall,Reading,197,91,4,7
19094,2019,Fall,Reading,182,62,3,10
18063,2019,Fall,Reading,188,77,4,9
13560,2019,Fall,Reading,201,95,4,6
14617,2019,Fall,Reading,199,93,4,7
20388,2019,Fall,Reading,179,54,3,11
17650,2019,Fall,Reading,191,82,4,8
21299,2019,Fall,Reading,170,30,2,13
25398,2019,Fall,Reading,175,43,2,11
26578,2019,Fall,Reading,198,92,4,7
17679,2019,Fall,Reading,181,60,3,10
16364,2019,Fall,Reading,198,92,4,7
27494,2019,Fall,Reading,170,30,2,13
17328,2019,Fall,Reading,180,57,3,10
24648,2019,Fall,Reading,186,72,3,9
16264,2019,Fall,Reading,200,94,4,6
23993,2019,Fall,Reading,179,54,3,11
16217,2019,Fall,Reading,180,57,3,10
22799,2019,Fall,Read,182,62,3,10
21233,2019,Fall,Read,181,60,3,10
22571,2019,Fall,Read,178,51,3,11
12106,2019,Fall,Read,146,1,1,17
17002,2019,Fall,Read,151,3,1,16
10158,2019,Fall,Read,198,92,4,7
20790,2019,Fall,Read,200,94,4,6
17232,2019,Fall,Read,176,46,2,11
21853,2019,Fall,Read,153,4,1,16
12356,2019,Fall,Reading,190,81,4,8
18234,2019,Fall,Reading,193,86,4,8
14217,2019,Fall,Reading,195,89,4,7
21330,2019,Fall,Reading,209,99,4,5
13750,2019,Fall,Reading,199,93,4,7
19036,2019,Fall,Reading,184,67,3,10
16901,2019,Fall,Reading,169,28,2,13
23054,2019,Fall,Reading,165,19,1,14
24307,2019,Fall,Reading,182,62,3,10
10312,2019,Fall,Reading,181,60,3,10
16328,2019,Fall,Reading,185,70,3,9
10559,2019,Fall,Reading,183,65,3,10
24407,2019,Fall,Reading,207,98,4,5
18087,2019,Fall,Reading,198,92,4,7
12977,2019,Fall,Reading,185,70,3,9
18508,2019,Fall,Reading,181,60,3,10
23597,2019,Fall,Reading,201,95,4,6
25183,2019,Fall,Reading,176,46,2,11
23919,2019,Fall,Reading,157,8,1,15
28755,2019,Fall,Reading,191,82,4,8
13643,2019,Fall,Reading,184,67,3,10
22025,2019,Fall,Reading,182,62,3,10
13722,2019,Fall,Reading,209,99,4,5
28015,2019,Fall,Reading,176,46,2,11
11207,2019,Fall,Reading,196,90,4,7
12244,2019,Fall,Reading,162,14,1,14
21450,2019,Fall,Reading,197,91,4,7
26493,2019,Fall,Reading,178,51,3,11
12832,2019,Fall,Reading,179,54,3,11
16467,2019,Fall,Reading,147,2,1,17
24995,2019,Fall,Reading,195,89,4,7
16840,2019,Fall,Reading,195,89,4,8
19008,2019,Fall,Reading,191,82,4,8
25247,2019,Fall,Reading,166,21,1,13
29895,2019,Fall,Reading,183,65,3,10
18953,2019,Fall,Reading,187,74,3,9
18403,2019,Fall,Reading,181,60,3,10
27628,2019,Fall,Reading,193,86,4,8
28468,2019,Fall,Reading,177,49,2,11
18289,2019,Fall,Reading,163,16,1,14
22392,2019,Fall,Reading,193,86,4,8
14690,2019,Fall,Reading,194,87,4,8
19586,2019,Fall,Reading,179,54,3,11
10284,2019,Fall,Reading,194,87,4,8
15260,2019,Fall,Reading,178,51,3,11
17725,2019,Fall,Reading,173,38,2,12
12208,2019,Fall,Reading,193,86,4,8
22517,2019,Fall,Reading,179,54,3,11
27689,2019,Fall,Reading,158,9,1,15
10199,2019,Fall,Reading,193,86,4,8
27650,2019,Fall,Reading,151,3,1,16
26278,2019,Fall,Reading,189,79,4,9
16412,2019,Fall,Reading,182,62,3,10
24305,2019,Fall,Reading,187,74,3,9
11987,2019,Fall,Reading,175,43,2,11
22592,2019,Fall,Reading,171,33,2,12
25018,2019,Fall,Reading,201,95,4,6
29176,2019,Fall,Reading,197,91,4,7
19223,2019,Fall,Reading,178,51,3,11
21224,2019,Fall,Reading,165,19,1,14
18364,2019,Fall,Reading,190,81,4,8
16363,2019,Fall,Reading,201,95,4,6
24171,2019,Fall,Reading,.,.,.,.
16981,2019,Fall,Reading,185,70,3,9
13924,2019,Fall,Reading,180,57,3,10
16729,2019,Fall,Reading,196,90,4,7
12722,2019,Fall,Reading,161,13,1,14
21467,2019,Fall,Reading,215,99,4,3
26125,2019,Fall,Reading,186,72,3,9
24891,2019,Fall,Reading,174,40,2,12
23101,2019,Fall,Reading,179,54,3,11
22210,2019,Fall,Reading,175,43,2,11
10301,2019,Fall,Reading,153,4,1,16
23791,2019,Fall,Reading,197,91,4,7
12717,2019,Fall,Reading,189,79,4,9
22153,2019,Fall,Reading,197,91,4,7
12245,2019,Fall,Reading,178,51,3,11
15473,2019,Fall,Reading,143,1,1,18
20233,2019,Fall,Reading,187,74,3,9
13811,2019,Fall,Reading,191,82,4,8
10011,2019,Fall,Reading,168,26,2,13
20482,2019,Fall,Reading,169,28,2,13
23831,2019,Fall,Reading,191,82,4,8
13709,2019,Fall,Reading,169,28,2,13
26169,2019,Fall,Reading,175,43,2,11
23013,2019,Fall,Reading,193,86,4,8
18189,2019,Fall,Reading,.,.,.,.
26780,2019,Fall,Reading,180,57,3,10
28878,2019,Fall,Reading,184,67,3,10
24620,2019,Fall,Reading,192,84,4,8
13309,2019,Fall,Reading,174,40,2,12
24975,2019,Fall,Reading,166,21,1,13
12349,2019,Fall,Reading,200,94,4,6
12043,2019,Fall,Reading,174,40,2,12
11037,2019,Fall,Reading,.,.,.,.
19451,2019,Fall,Reading,199,93,4,7
15826,2019,Fall,Reading,192,84,4,8
27115,2019,Fall,Reading,175,43,2,12
19571,2019,Fall,Reading,176,46,2,11
12350,2019,Fall,Reading,188,77,4,9
13055,2019,Fall,Reading,193,86,4,8
19188,2019,Fall,Reading,170,30,2,13
19042,2019,Fall,Reading,187,74,3,9
26552,2019,Fall,Reading,195,89,4,7
14070,2019,Fall,Reading,184,67,3,10
16877,2019,Fall,Reading,171,33,2,12
14378,2019,Fall,Reading,185,70,3,9
29340,2019,Fall,Reading,206,98,4,5
16156,2019,Fall,Reading,193,86,4,8
15027,2019,Fall,Reading,187,74,3,9
24068,2019,Fall,Reading,193,86,4,8
20553,2019,Fall,Reading,189,79,4,9
15591,2019,Fall,Reading,182,62,3,10
11538,2019,Fall,Reading,205,97,4,5
22466,2019,Fall,Reading,191,82,4,8
23927,2019,Fall,Reading,176,46,2,11
27602,2019,Fall,Reading,176,46,2,11
11913,2019,Fall,Reading,.,.,.,.
26420,2019,Fall,Reading,.,.,.,.
22564,2019,Fall,Reading,.,.,.,.
27488,2019,Fall,Reading,176,46,2,11
12526,2019,Fall,Reading,197,91,4,7
24028,2019,Fall,Reading,172,35,2,12
20098,2019,Fall,Reading,195,89,4,7
29036,2019,Fall,Reading,181,60,3,10
19990,2019,Fall,Reading,153,4,1,16
29773,2019,Fall,Reading,196,90,4,7
25785,2019,Fall,Reading,175,43,2,11
24470,2019,Fall,Reading,187,74,3,9
21402,2019,Fall,Reading,198,92,4,7
28538,2019,Fall,Reading,185,70,3,9
14084,2019,Fall,Reading,175,43,2,11
10148,2019,Fall,Reading,177,49,2,11
17770,2019,Fall,Reading,163,16,1,14
14749,2019,Fall,Reading,180,57,3,10
26158,2019,Fall,Reading,184,67,3,10
26856,2019,Fall,Reading,194,87,4,8
12468,2019,Fall,Reading,202,95,4,6
16796,2019,Fall,Reading,166,21,1,13
16352,2019,Fall,Reading,198,92,4,7
29103,2019,Fall,Reading,171,33,2,12
15608,2019,Fall,Reading,194,87,4,8
19876,2019,Fall,Reading,192,84,4,8
24338,2019,Fall,Reading,174,40,2,12
25540,2019,Fall,Reading,194,87,4,8
24259,2019,Fall,Reading,211,99,4,4
28049,2019,Fall,Reading,163,16,1,14
13696,2019,Fall,Reading,173,38,2,12
20175,2019,Fall,Reading,160,11,1,15
22456,2019,Fall,Reading,181,60,3,10
26309,2019,Fall,Reading,143,1,1,18
16413,2019,Fall,Reading,191,82,4,8
25488,2019,Fall,Reading,.,.,.,.
